epoch,step,train_accur,train_loss,training_accur_epoch_mean,training_loss_epoch_mean,val_accur,val_loss,validation_accur_epoch_mean,validation_loss_epoch_mean
0,49,0.0,-0.0005253935232758522,,,,,,
0,99,0.0,-0.00021122724865563214,,,,,,
0,149,0.0,-0.0006789438193663955,,,,,,
0,199,0.0,-2.384950221312465e-06,,,,,,
0,249,0.0,-0.0003252323076594621,,,,,,
0,299,0.0,-5.5076593525882345e-06,,,,,,
0,349,0.0,-1.707870637801534e-06,,,,,,
0,399,0.0,-1.6731386494939215e-05,,,,,,
0,449,0.0,-9.045569640875328e-06,,,,,,
0,499,0.0,-1.1387906852178276e-05,,,,,,
0,549,0.0,-5.727549705625279e-06,,,,,,
0,599,0.0,-8.71181400725618e-05,,,,,,
0,649,0.0,-2.5262716008001007e-07,,,,,,
0,699,0.0,-2.999993853336491e-07,,,,,,
0,749,0.0,-0.0061283716931939125,,,,,,
0,799,0.0,-7.781294698361307e-06,,,,,,
0,849,0.0,-3.4701184631558135e-05,,,,,,
0,899,0.0,-4.601502587320283e-05,,,,,,
0,949,0.0,-1.1872340337504284e-06,,,,,,
0,999,0.0,-4.949591129843611e-06,,,,,,
0,1049,0.0,-5.681192305928562e-06,,,,,,
0,1099,1.0,-0.9682253003120422,,,,,,
0,1149,0.0,-2.4686642063898034e-06,,,,,,
0,1199,0.0,-8.273332241515163e-07,,,,,,
0,1249,0.0,-2.394369630565052e-06,,,,,,
0,1299,0.0,-4.49190083600115e-05,,,,,,
0,1349,0.0,-4.5112952307135856e-07,,,,,,
0,1399,1.0,-0.7443013191223145,,,,,,
0,1449,0.0,-3.0175958727340912e-06,,,,,,
0,1499,0.0,-0.00011355362948961556,,,,,,
0,1549,0.0,-0.00995809305459261,,,,,,
0,1599,1.0,-0.6628034114837646,,,,,,
0,1649,0.0,-3.15682086693414e-07,,,,,,
0,1699,0.0,-1.1697654372255784e-05,,,,,,
0,1749,0.0,-3.8210155253182165e-06,,,,,,
0,1799,0.0,-2.657090817592689e-06,,,,,,
0,1849,0.0,-3.636543226548383e-07,,,,,,
0,1899,0.0,-9.372039926347497e-07,,,,,,
0,1949,0.0,-0.1565116047859192,,,,,,
0,1999,0.0,-2.2312694625270524e-07,,,,,,
0,2049,0.0,-2.8813581138820155e-06,,,,,,
0,2099,1.0,-0.9395135045051575,,,,,,
0,2149,0.0,-9.833397780312225e-05,,,,,,
0,2199,1.0,-0.9967261552810669,,,,,,
0,2249,0.0,-5.317468094290234e-05,,,,,,
0,2299,0.0,-2.8873591872979887e-07,,,,,,
0,2349,0.0,-3.0247048243836616e-07,,,,,,
0,2399,0.0,-1.8345515854889527e-05,,,,,,
0,2449,0.0,-5.322897322912468e-07,,,,,,
0,2499,1.0,-0.8979447484016418,,,,,,
0,2549,0.0,-7.639378054591361e-07,,,,,,
0,2599,0.0,-0.0002614109544083476,,,,,,
0,2649,0.0,-3.140937451462378e-06,,,,,,
0,2699,0.0,-3.2717800877435366e-06,,,,,,
0,2749,0.0,-5.045820898885722e-07,,,,,,
0,2799,0.0,-9.383467869383821e-08,,,,,,
0,2849,0.0,-0.0020155159290879965,,,,,,
0,2899,0.0,-7.616743005200988e-07,,,,,,
0,2949,0.0,-2.2593835069528723e-07,,,,,,
0,2999,0.0,-2.3504314583533414e-07,,,,,,
0,3049,0.0,-2.174198471038835e-06,,,,,,
0,3099,0.0,-8.55131474963855e-07,,,,,,
0,3149,1.0,-0.9978616833686829,,,,,,
0,3199,0.0,-6.93736694756808e-08,,,,,,
0,3249,0.0,-0.4319283068180084,,,,,,
0,3299,0.0,-1.702777694845281e-06,,,,,,
0,3349,0.0,-3.116507585332329e-08,,,,,,
0,3399,0.0,-5.056310214968107e-08,,,,,,
0,3449,0.0,-1.895868848578175e-07,,,,,,
0,3499,0.0,-9.547386881081366e-09,,,,,,
0,3549,0.0,-4.496634574024938e-05,,,,,,
0,3599,1.0,-0.8172844052314758,,,,,,
0,3649,0.0,-5.343667339730018e-07,,,,,,
0,3699,1.0,-0.9994354844093323,,,,,,
0,3749,1.0,-0.9996479749679565,,,,,,
0,3799,0.0,-1.4117674140834424e-07,,,,,,
0,3849,0.0,-3.709348277425306e-07,,,,,,
0,3899,0.0,-1.2913427838157077e-07,,,,,,
0,3949,0.0,-2.5915834811485183e-08,,,,,,
